datasetid,recordid,record_timestamp,fields.gc_obo_gare_origine_r_code_uic_c,fields.gc_obo_type_c,fields.gc_obo_gare_origine_r_name,fields.gc_obo_nature_c,fields.gc_obo_nom_recordtype_sc_c,fields.date,fields.gc_obo_date_heure_restitution_c
objets-trouves-restitution,1e8ac92cc7f41a489d326be72335f21e3436aec4,2023-04-06T09:01:33.082Z,0087547000,"Bagagerie: sacs, valises, cartables",Paris Austerlitz,"Valise, sac sur roulettes",Objet trouvé,2022-03-17T14:30:51+00:00,
objets-trouves-restitution,a8d05b5e05cb95cb7dec06ced1e67bbb116c214f,2023-04-06T09:01:33.082Z,0087547000,"Bagagerie: sacs, valises, cartables",Paris Austerlitz,Sac à dos,Objet trouvé,2022-03-17T11:43:12+00:00,
objets-trouves-restitution,4c8fbf66b71d6bee158938e4b88becb85a7eb98e,2023-04-06T09:01:33.082Z,0087547000,"Appareils électroniques, informatiques, appareils photo",Paris Austerlitz,Téléphone portable,Objet trouvé,2022-03-17T11:33:03+00:00,2022-03-17T14:13:30+00:00
objets-trouves-restitution,adf8e3d81c3ef58ffd555d9db2659257dcb274da,2023-04-06T09:01:33.082Z,0087547000,"Appareils électroniques, informatiques, appareils photo",Paris Austerlitz,Téléphone portable,Objet trouvé,2022-03-17T11:27:18+00:00,
objets-trouves-restitution,f0c94682d17e75d4b58a02dbdffc1359cce4922d,2023-04-06T09:01:33.082Z,0087547000,"Bagagerie: sacs, valises, cartables",Paris Austerlitz,Sac à dos,Objet trouvé,2022-03-16T17:46:24+00:00,2022-03-16T17:50:03+00:00
objets-trouves-restitution,7349db0d570a1aa4e073e614e3e24bd5d94039e1,2023-04-06T09:01:33.082Z,0087547000,"Vélos, trottinettes, accessoires 2 roues",Paris Austerlitz,Vélo,Objet trouvé,2022-03-16T16:58:59+00:00,2022-03-16T17:02:46+00:00
objets-trouves-restitution,823cff947ef3ba13c542299bd5364da96003fd04,2023-04-06T09:01:33.082Z,0087547000,"Bagagerie: sacs, valises, cartables",Paris Austerlitz,Sac à dos,Objet trouvé,2022-03-16T16:56:45+00:00,2022-03-18T12:19:19+00:00
objets-trouves-restitution,d5fd832e7ae2572e0664ebd7cb280514b4485404,2023-04-06T09:01:33.082Z,0087547000,"Bagagerie: sacs, valises, cartables",Paris Austerlitz,Sac à main,Objet trouvé,2022-03-16T14:21:36+00:00,2023-02-07T19:13:34+00:00
objets-trouves-restitution,9972dbcf6e288067cf2ce0693a6090b07e1a4c2b,2023-04-06T09:01:33.082Z,0087547000,"Porte-monnaie / portefeuille, argent, titres",Paris Austerlitz,"Porte-monnaie, portefeuille",Objet trouvé,2022-03-16T13:44:23+00:00,2022-03-16T15:11:22+00:00
objets-trouves-restitution,c35f0bfbe5c5f425262720ad9aab5820c1e6a59a,2023-04-06T09:01:33.082Z,0087547000,"Porte-monnaie / portefeuille, argent, titres",Paris Austerlitz,"Porte-monnaie, portefeuille",Objet trouvé,2022-03-16T13:24:46+00:00,2022-04-25T16:47:08+00:00
