datasetid,recordid,record_timestamp,fields.gc_obo_gare_origine_r_code_uic_c,fields.gc_obo_date_heure_restitution_c,fields.gc_obo_type_c,fields.gc_obo_gare_origine_r_name,fields.gc_obo_nature_c,fields.gc_obo_nom_recordtype_sc_c,fields.date
objets-trouves-restitution,dd11caa8a611cee4c8810ef0092336e90692a08f,2023-04-06T09:01:33.082Z,0087113001,2021-01-02T09:12:15+00:00,"Bagagerie: sacs, valises, cartables",Paris Est,"Valise, sac sur roulettes",Objet trouvé,2020-12-31T13:17:24+00:00
objets-trouves-restitution,a322b1c85b76a6ac2cc23c3e25315ebbb2059db6,2023-04-06T09:01:33.082Z,0087113001,,"Appareils électroniques, informatiques, appareils photo",Paris Est,Téléphone portable,Objet trouvé,2020-12-31T11:21:06+00:00
objets-trouves-restitution,b6e54686cafe4a03cb55fc472ee5daaa350701d5,2023-04-06T09:01:33.082Z,0087113001,,"Porte-monnaie / portefeuille, argent, titres",Paris Est,"Porte-monnaie, portefeuille",Objet trouvé,2020-12-31T10:19:07+00:00
objets-trouves-restitution,1dcdd5eaf281804260d6dfb9f362e2771e2b8387,2023-04-06T09:01:33.082Z,0087113001,2021-01-15T13:40:49+00:00,"Appareils électroniques, informatiques, appareils photo",Paris Est,Téléphone portable,Objet trouvé,2020-12-30T07:00:32+00:00
objets-trouves-restitution,79e844a65009a2c3a8537a59c5561d4947a5c984,2023-04-06T09:01:33.082Z,0087113001,,"Bagagerie: sacs, valises, cartables",Paris Est,Sac à dos,Objet trouvé,2020-12-29T13:58:04+00:00
objets-trouves-restitution,a2e076a5b02060109a70f2171e3efbdfe53ed13a,2023-04-06T09:01:33.082Z,0087113001,2021-01-02T09:39:45+00:00,"Bagagerie: sacs, valises, cartables",Paris Est,"Valise, sac sur roulettes",Objet trouvé,2020-12-29T10:22:55+00:00
objets-trouves-restitution,b5453607650428767505d04e920e9992f300cbea,2023-04-06T09:01:33.082Z,0087113001,2021-01-06T10:51:52+00:00,"Appareils électroniques, informatiques, appareils photo",Paris Est,Téléphone portable,Objet trouvé,2020-12-29T09:26:40+00:00
objets-trouves-restitution,ed9db8021025d67f5f8ad9748c953c673e20a2b5,2023-04-06T09:01:33.082Z,0087113001,2020-12-30T08:02:17+00:00,"Appareils électroniques, informatiques, appareils photo",Paris Est,Téléphone portable,Objet trouvé,2020-12-29T08:01:54+00:00
objets-trouves-restitution,95aa27c931b5f8df95dc10042f9ff709b709506b,2023-04-06T09:01:33.082Z,0087113001,2021-01-04T08:32:31+00:00,"Porte-monnaie / portefeuille, argent, titres",Paris Est,"Porte-monnaie, portefeuille",Objet trouvé,2020-12-28T13:17:04+00:00
objets-trouves-restitution,534f021b5a9e0303f6eb29ad49c7ab4e995029d9,2023-04-06T09:01:33.082Z,0087113001,,"Porte-monnaie / portefeuille, argent, titres",Paris Est,"Porte-monnaie, portefeuille",Objet trouvé,2020-12-28T12:28:38+00:00
