datasetid,recordid,record_timestamp,fields.gc_obo_gare_origine_r_code_uic_c,fields.gc_obo_type_c,fields.gc_obo_gare_origine_r_name,fields.gc_obo_nature_c,fields.gc_obo_nom_recordtype_sc_c,fields.date,fields.gc_obo_date_heure_restitution_c
objets-trouves-restitution,ebd5e0e4f7d134010adbfdeaac7f8350c8ea96b8,2023-04-06T09:01:33.082Z,0087686667,"Bagagerie: sacs, valises, cartables",Paris Bercy,"Sac d'enseigne (plastique, papier, …)",Objet trouvé,2020-06-28T06:38:32+00:00,
objets-trouves-restitution,e83a7965450d1bbb9a088399edea0569dd6a82de,2023-04-06T09:01:33.082Z,0087686667,"Bagagerie: sacs, valises, cartables",Paris Bercy,"Sac d'enseigne (plastique, papier, …)",Objet trouvé,2020-06-27T19:38:21+00:00,
objets-trouves-restitution,8a771d83f6f88c69c323b534a3f3e02aabfa31a4,2023-04-06T09:01:33.082Z,0087686667,"Porte-monnaie / portefeuille, argent, titres",Paris Bercy,"Porte-monnaie, portefeuille",Objet trouvé,2020-06-26T20:37:45+00:00,2020-06-29T15:31:57+00:00
objets-trouves-restitution,851a725f49443d2bf9238e901e99567a9a856a66,2023-04-06T09:01:33.082Z,0087686667,"Appareils électroniques, informatiques, appareils photo",Paris Bercy,Téléphone portable,Objet trouvé,2020-06-26T19:41:59+00:00,2020-06-28T14:50:19+00:00
objets-trouves-restitution,425fe21283a429809c100c3070da16a931c70f31,2023-04-06T09:01:33.082Z,0087686667,"Clés, porte-clés, badge magnétique",Paris Bercy,"Clés, porte-clés",Objet trouvé,2020-06-26T19:11:07+00:00,
objets-trouves-restitution,9e8442a2b0d0d48a44f371bb49876f15e4175603,2023-04-06T09:01:33.082Z,0087686667,"Porte-monnaie / portefeuille, argent, titres",Paris Bercy,Carte de crédit,Objet trouvé,2020-06-25T08:30:26+00:00,
objets-trouves-restitution,87265d53a60aafb9ada7e697f13a4aa9582be38a,2023-04-06T09:01:33.082Z,0087686667,Optique,Paris Bercy,Lunettes,Objet trouvé,2020-06-21T19:37:54+00:00,
objets-trouves-restitution,7dc7e774113f99f6e315110ad54abb88faff38d4,2023-04-06T09:01:33.082Z,0087686667,"Bagagerie: sacs, valises, cartables",Paris Bercy,"Sac de voyage, sac de sport, sac à bandoulière",Objet trouvé,2020-06-21T19:24:31+00:00,2020-06-22T10:11:55+00:00
objets-trouves-restitution,42bb3e72aa3c60b9d27de099c58668aee6549a0b,2023-04-06T09:01:33.082Z,0087686667,"Vêtements, chaussures",Paris Bercy,"Manteau, veste, blazer, parka, blouson, cape",Objet trouvé,2020-06-20T19:11:40+00:00,
objets-trouves-restitution,06431e43e034c2f3ccfebc7815bfeae76450065d,2023-04-06T09:01:33.082Z,0087686667,Instruments de musique,Paris Bercy,Autres instruments de musique,Objet trouvé,2020-06-20T18:58:31+00:00,2020-06-27T08:36:39+00:00
objets-trouves-restitution,d6c27fab4adb1f2706a75758e784c174fddd866e,2023-04-06T09:01:33.082Z,0087686667,Optique,Paris Bercy,Lunettes,Objet trouvé,2020-06-20T18:33:02+00:00,
objets-trouves-restitution,2b68f9f114d2b0d42f4335c07294212dbab5262e,2023-04-06T09:01:33.082Z,0087686667,"Bagagerie: sacs, valises, cartables",Paris Bercy,"Sac de voyage, sac de sport, sac à bandoulière",Objet trouvé,2020-06-19T05:24:33+00:00,2020-06-19T14:39:47+00:00
objets-trouves-restitution,636308c5a82ecb68e05b5395d711178989a04f3f,2023-04-06T09:01:33.082Z,0087686667,"Clés, porte-clés, badge magnétique",Paris Bercy,"Clés, porte-clés",Objet trouvé,2020-06-18T17:36:29+00:00,
objets-trouves-restitution,81b76233075ff151def728c760a0d9ee55eb8fdf,2023-04-06T09:01:33.082Z,0087686667,"Bagagerie: sacs, valises, cartables",Paris Bercy,Sac à main,Objet trouvé,2020-06-17T07:16:38+00:00,
objets-trouves-restitution,a2f8e6f69f77ff49821b41f989f25075a56c05c0,2023-04-06T09:01:33.082Z,0087686667,"Appareils électroniques, informatiques, appareils photo",Paris Bercy,Téléphone portable,Objet trouvé,2020-06-15T08:09:08+00:00,2020-06-15T08:29:31+00:00
objets-trouves-restitution,c8c5c27b9883d85ace773d241daf0d9b2a294de5,2023-04-06T09:01:33.082Z,0087686667,"Bagagerie: sacs, valises, cartables",Paris Bercy,"Valise, sac sur roulettes",Objet trouvé,2020-06-11T19:13:52+00:00,
objets-trouves-restitution,7f092bedc66b98eab8cdb7a6b75b9594cf6f4d3a,2023-04-06T09:01:33.082Z,0087686667,"Livres, articles de papéterie",Paris Bercy,"Article de papéterie, stylo, classeur",Objet trouvé,2020-06-11T12:53:11+00:00,2020-06-11T12:58:11+00:00
objets-trouves-restitution,6bef0f1b89ae7669678a5bf539f4f75edd90dce7,2023-04-06T09:01:33.082Z,0087686667,"Bagagerie: sacs, valises, cartables",Paris Bercy,"Valise, sac sur roulettes",Objet trouvé,2020-06-11T11:38:27+00:00,2020-06-11T17:49:34+00:00
objets-trouves-restitution,f621d06ed14f63f2344ad5f03aa1465cb3f2ee64,2023-04-06T09:01:33.082Z,0087686667,Parapluies,Paris Bercy,"Parapluie télescopique, parapluie de poche",Objet trouvé,2020-06-08T17:20:05+00:00,
