datasetid,recordid,record_timestamp,fields.total_voyageurs_non_voyageurs_2018,fields.total_voyageurs_non_voyageurs_2021,fields.total_voyageurs_non_voyageurs_2015,fields.segmentation_drg,fields.total_voyageurs_2020,fields.total_voyageurs_non_voyageurs_2016,fields.total_voyageurs_2018,fields.totalvoyageurs2017,fields.total_voyageurs_non_voyageurs_2017,fields.total_voyageurs_non_voyageurs_2019,fields.code_uic_complet,fields.code_postal,fields.total_voyageurs_non_voyageurs_2020,fields.total_voyageurs_2019,fields.total_voyageurs_2021,fields.total_voyageurs_2016,fields.total_voyageurs_2015,fields.nom_gare
frequentation-gares,24e78853c8fe377215d80ae4c3675fcd90bdfa13,2022-12-19T08:39:56.935Z,22535671,22814864,24119239,a,13203603,23872118,21821140,23212805,24037704,22423095,87547000,75013,13602554,21682820,22281301,23073881,23300254,Paris Austerlitz
frequentation-gares,c877de291d06ecb3c0abc08c901e3c7ee0d18031,2022-12-19T08:39:56.935Z,4133983,3474572,3968276,a,2498330,3842624,3983108,4003278,4154918,4482042,87686667,75012,2592964,4318464,3347763,3702383,3823448,Paris Bercy
frequentation-gares,35c41e8b83f53818a4f38772aff516c08a0404ce,2022-12-19T08:39:56.935Z,49612908,35041906,44081786,a,21580625,45218475,39301206,38455354,48545125,52060520,87113001,75010,27242868,41240098,27758686,35820125,34919689,Paris Est
frequentation-gares,e9038dff494a7c4638c88d3dc1b06b50767b7344,2022-12-19T08:39:56.935Z,137769853,100871407,138936295,a,55824824,138682324,111226947,113962625,141761340,140121852,87686006,75012,67873723,112644337,79986275,111664289,111506043,Paris Gare de Lyon
frequentation-gares,8f8cbe823deb76c0fddd8cacb60f4acb0c73f9c1,2022-12-19T08:39:56.935Z,271824491,148849186,263994241,a,92236287,268774859,244502421,248007131,275962568,272898471,87758904,75010,107666015,244759909,126622180,242319816,238424127,Paris Gare du Nord
frequentation-gares,48b203c31afdf3329d859261078b332d2e69dcf0,2022-12-19T08:39:56.935Z,73296349,51406616,68930457,a,32439307,68903364,59174531,57752741,72096491,76622754,87391003,75015,40615322,61374035,41043477,55162747,55167519,Paris Montparnasse
frequentation-gares,b1be6c8faae4eca4be9ade5afc3873859c8c8101,2022-12-19T08:39:56.935Z,144101040,122002923,142887636,a,114468385,145029255,108075780,109956754,146609005,143120561,87384008,75008,152624513,107340421,91502192,108771941,107165727,Paris Saint-Lazare
