datasetid,recordid,record_timestamp,fields.gc_obo_gare_origine_r_code_uic_c,fields.gc_obo_date_heure_restitution_c,fields.gc_obo_type_c,fields.gc_obo_gare_origine_r_name,fields.gc_obo_nature_c,fields.gc_obo_nom_recordtype_sc_c,fields.date
objets-trouves-restitution,0a21e6c3facd0c531057e017394c18377abb3362,2023-04-06T09:01:33.082Z,0087686667,2021-08-23T14:13:08+00:00,"Appareils électroniques, informatiques, appareils photo",Paris Bercy,"Tablette tactile protégée (étui, housse)",Objet trouvé,2021-08-23T11:18:27+00:00
objets-trouves-restitution,8643f85cec2bc5b0f17a3631c4c4672b02e7544c,2023-04-06T09:01:33.082Z,0087686667,2021-08-21T17:21:37+00:00,"Appareils électroniques, informatiques, appareils photo",Paris Bercy,"Ordinateur, ordinateur portable, notebook",Objet trouvé,2021-08-21T17:20:26+00:00
objets-trouves-restitution,b173a822e6cb2216544a823d44ec94049c90cf84,2023-04-06T09:01:33.082Z,0087686667,,"Bagagerie: sacs, valises, cartables",Paris Bercy,Sac à dos,Objet trouvé,2021-08-20T16:19:15+00:00
objets-trouves-restitution,b33f1a0064711f8599f2602eb27025fd6fec7800,2023-04-06T09:01:33.082Z,0087686667,,"Bagagerie: sacs, valises, cartables",Paris Bercy,Sac à dos,Objet trouvé,2021-08-19T07:18:12+00:00
objets-trouves-restitution,e7eeff5528c1ec15d52fa9935b5c73687f17dc17,2023-04-06T09:01:33.082Z,0087686667,2021-08-19T06:55:32+00:00,"Porte-monnaie / portefeuille, argent, titres",Paris Bercy,"Porte-monnaie, portefeuille",Objet trouvé,2021-08-19T06:45:20+00:00
objets-trouves-restitution,7b3f6e037ca07f25af092f47905dc5a4a07621e1,2023-04-06T09:01:33.082Z,0087686667,2021-08-28T13:19:18+00:00,"Livres, articles de papéterie",Paris Bercy,Autres articles de papeterie,Objet trouvé,2021-08-19T04:23:56+00:00
objets-trouves-restitution,f0ac67ccadaa9a81132fb536e23654df8122f3ff,2023-04-06T09:01:33.082Z,0087686667,,Pièces d'identités et papiers personnels,Paris Bercy,"Carte d'identité, passeport, permis de conduire",Objet trouvé,2021-08-17T07:24:14+00:00
objets-trouves-restitution,92361ccf2d59361e412b97ae04abb2e60dbd614e,2023-04-06T09:01:33.082Z,0087686667,,Pièces d'identités et papiers personnels,Paris Bercy,"Carte d'identité, passeport, permis de conduire",Objet trouvé,2021-08-17T05:10:36+00:00
objets-trouves-restitution,b7404efbbe7f0856bb3a43f3a668002010bd7a8d,2023-04-06T09:01:33.082Z,0087686667,2021-09-16T11:26:24+00:00,"Porte-monnaie / portefeuille, argent, titres",Paris Bercy,"Porte-monnaie, portefeuille",Objet trouvé,2021-08-16T07:55:24+00:00
objets-trouves-restitution,046e1c19f843d294e7ea5c55c9c0b6d0d21011c4,2023-04-06T09:01:33.082Z,0087686667,,"Porte-monnaie / portefeuille, argent, titres",Paris Bercy,"Porte-monnaie, portefeuille",Objet trouvé,2021-08-15T20:54:37+00:00
