datasetid,recordid,record_timestamp,fields.gc_obo_gare_origine_r_code_uic_c,fields.gc_obo_date_heure_restitution_c,fields.gc_obo_type_c,fields.gc_obo_gare_origine_r_name,fields.gc_obo_nature_c,fields.gc_obo_nom_recordtype_sc_c,fields.date
objets-trouves-restitution,b1828f27a099718ee81ca2baa1b4f765c41b1b6d,2023-04-06T09:01:33.082Z,0087547000,,"Livres, articles de papéterie",Paris Austerlitz,Chemise à rabat,Objet trouvé,2019-08-13T13:57:01+00:00
objets-trouves-restitution,7e471b02e93aad0a1c203f3b908ba8132dc620ba,2023-04-06T09:01:33.082Z,0087547000,2019-08-13T18:10:17+00:00,"Livres, articles de papéterie",Paris Austerlitz,Chemise à rabat,Objet trouvé,2019-08-13T13:22:36+00:00
objets-trouves-restitution,5e1fc37e32b4083ffca96e4e20306df5ba095864,2023-04-06T09:01:33.082Z,0087547000,2019-08-14T17:02:58+00:00,Pièces d'identités et papiers personnels,Paris Austerlitz,Pièce d'identité personnelle et autre,Objet trouvé,2019-08-13T13:10:00+00:00
objets-trouves-restitution,9ca87f2e145a8603a4d6bdca1b8a9f4191aad298,2023-04-06T09:01:33.082Z,0087547000,2019-08-29T18:06:11+00:00,"Livres, articles de papéterie",Paris Austerlitz,Chemise à rabat,Objet trouvé,2019-08-13T12:28:05+00:00
objets-trouves-restitution,7bf21a94740b4aaec650a3aad87a2a8096ba4f58,2023-04-06T09:01:33.082Z,0087547000,,Pièces d'identités et papiers personnels,Paris Austerlitz,"Carte d'identité, passeport, permis de conduire",Objet trouvé,2019-08-09T15:24:17+00:00
objets-trouves-restitution,aee8b95696552d07cd3b49ccc80329007926ad1c,2023-04-06T09:01:33.082Z,0087547000,2019-08-08T15:46:27+00:00,"Bagagerie: sacs, valises, cartables",Paris Austerlitz,Sac à main,Objet trouvé,2019-08-08T15:43:23+00:00
objets-trouves-restitution,93568fc6a48eb08424491f060905839112b76fd0,2023-04-06T09:01:33.082Z,0087547000,2019-08-06T16:57:13+00:00,"Appareils électroniques, informatiques, appareils photo",Paris Austerlitz,"Ordinateur, ordinateur portable, notebook",Objet trouvé,2019-08-06T11:28:26+00:00
objets-trouves-restitution,ba2a774988e648a5f3b9e739915a4687fadf19f3,2023-04-06T09:01:33.082Z,0087547000,2019-08-05T11:40:02+00:00,"Appareils électroniques, informatiques, appareils photo",Paris Austerlitz,Autres appareils et accessoires électroniques,Objet trouvé,2019-08-05T11:20:53+00:00
objets-trouves-restitution,3b7a3af27f66ebbb6c080475e9760f9d887bd1d0,2023-04-06T09:01:33.082Z,0087547000,2019-08-02T13:05:26+00:00,"Porte-monnaie / portefeuille, argent, titres",Paris Austerlitz,"Porte-monnaie, portefeuille",Objet trouvé,2019-08-02T12:49:13+00:00
objets-trouves-restitution,4e85284d2da35028735b0454d324db9109315e02,2023-04-06T09:01:33.082Z,0087547000,2019-08-06T16:00:52+00:00,"Bagagerie: sacs, valises, cartables",Paris Austerlitz,"Valise, sac sur roulettes",Objet trouvé,2019-08-01T17:43:59+00:00
objets-trouves-restitution,3326e47868c0c27434731d58eafed4bb32ab7518,2023-04-06T09:01:33.082Z,0087547000,,"Bagagerie: sacs, valises, cartables",Paris Austerlitz,"Valise, sac sur roulettes",Objet trouvé,2019-08-01T17:35:28+00:00
objets-trouves-restitution,0716ac47efcb401530d6dd682630b56e23bee498,2023-04-06T09:01:33.082Z,0087547000,2019-07-31T14:58:16+00:00,"Porte-monnaie / portefeuille, argent, titres",Paris Austerlitz,"Porte-monnaie, portefeuille",Objet trouvé,2019-07-31T14:42:56+00:00
objets-trouves-restitution,8bbf6a653bdfe0becc27e51f6c2f8b1012b71c32,2023-04-06T09:01:33.082Z,0087547000,2019-07-30T06:49:54+00:00,"Bagagerie: sacs, valises, cartables",Paris Austerlitz,"Sac de voyage, sac de sport, sac à bandoulière",Objet trouvé,2019-07-30T06:24:04+00:00
objets-trouves-restitution,778d926cc57e814d240bf1711b57c43297e3b0be,2023-04-06T09:01:33.082Z,0087547000,,"Clés, porte-clés, badge magnétique",Paris Austerlitz,"Clés, porte-clés",Objet trouvé,2019-07-26T11:43:06+00:00
objets-trouves-restitution,0d80c4754fdc62b45bade08a156291c191d05050,2023-04-06T09:01:33.082Z,0087547000,,"Clés, porte-clés, badge magnétique",Paris Austerlitz,"Clés, porte-clés",Objet trouvé,2019-07-26T11:41:39+00:00
objets-trouves-restitution,cf0aaf1fb6c138d69cd5800b77051a60298182ca,2023-04-06T09:01:33.082Z,0087547000,,"Clés, porte-clés, badge magnétique",Paris Austerlitz,"Clés, porte-clés",Objet trouvé,2019-07-26T11:39:49+00:00
objets-trouves-restitution,6b5c178b880eaf531f67a998d45189b42c183591,2023-04-06T09:01:33.082Z,0087547000,2019-07-30T06:54:15+00:00,"Appareils électroniques, informatiques, appareils photo",Paris Austerlitz,"Ordinateur, ordinateur portable, notebook",Objet trouvé,2019-07-26T11:19:17+00:00
objets-trouves-restitution,7a5796addd17305ade55ff9722c5047f2039faf6,2023-04-06T09:01:33.082Z,0087547000,2019-07-26T08:58:47+00:00,"Bagagerie: sacs, valises, cartables",Paris Austerlitz,"Sacoche pour ordinateur, photo, vidéo",Objet trouvé,2019-07-26T08:54:18+00:00
objets-trouves-restitution,2935204643e335c8bb0d3daee99fb672f0230a53,2023-04-06T09:01:33.082Z,0087547000,,"Clés, porte-clés, badge magnétique",Paris Austerlitz,"Clés, porte-clés",Objet trouvé,2019-07-24T14:02:07+00:00
objets-trouves-restitution,f7cd9c6fb9565ea94db699f3285f40c95575e314,2023-04-06T09:01:33.082Z,0087547000,2019-07-31T08:47:34+00:00,"Clés, porte-clés, badge magnétique",Paris Austerlitz,"Clés, porte-clés",Objet trouvé,2019-07-19T17:11:44+00:00
objets-trouves-restitution,f003937018bd68dcabfaeaae041bd63a220d625f,2023-04-06T09:01:33.082Z,0087547000,2019-07-19T14:19:35+00:00,"Bagagerie: sacs, valises, cartables",Paris Austerlitz,Sac à dos,Objet trouvé,2019-07-19T14:18:02+00:00
objets-trouves-restitution,e50823686813cb386c33f8cc2edd2de443e39838,2023-04-06T09:01:33.082Z,0087547000,2019-07-18T12:44:41+00:00,"Appareils électroniques, informatiques, appareils photo",Paris Austerlitz,"Ordinateur, ordinateur portable, notebook protégé (étui, housse,…)",Objet trouvé,2019-07-18T12:40:53+00:00
objets-trouves-restitution,b6bb7851e225c24c6b2079160721bf384d0622a7,2023-04-06T09:01:33.082Z,0087547000,2019-07-13T17:02:33+00:00,"Appareils électroniques, informatiques, appareils photo",Paris Austerlitz,"Ordinateur, ordinateur portable, notebook",Objet trouvé,2019-07-13T16:58:10+00:00
objets-trouves-restitution,b232e038f3deceef57bed60f024f094918f1815a,2023-04-06T09:01:33.082Z,0087547000,2019-07-13T15:05:26+00:00,"Porte-monnaie / portefeuille, argent, titres",Paris Austerlitz,"Porte-monnaie, portefeuille",Objet trouvé,2019-07-13T14:59:35+00:00
objets-trouves-restitution,d5411c51aa33865d1e324fcf2289babc51fbf06d,2023-04-06T09:01:33.082Z,0087547000,2019-07-13T13:21:35+00:00,"Vêtements, chaussures",Paris Austerlitz,Chaussures (autre que chaussures de ski et patins),Objet trouvé,2019-07-13T13:11:54+00:00
objets-trouves-restitution,6ac31aec5bcebadc0ec20e9eb33ffae9f5218329,2023-04-06T09:01:33.082Z,0087547000,2023-02-07T18:53:26+00:00,"Appareils électroniques, informatiques, appareils photo",Paris Austerlitz,Téléphone portable,Objet trouvé,2019-07-12T17:55:45+00:00
objets-trouves-restitution,756c735dbd38375a88b17e52ffebfba49dbad969,2023-04-06T09:01:33.082Z,0087547000,,Pièces d'identités et papiers personnels,Paris Austerlitz,Carte d'abonnement,Objet trouvé,2019-07-10T18:59:33+00:00
objets-trouves-restitution,387d032c83570582c01fb3a9a5cb82d708e1eedc,2023-04-06T09:01:33.082Z,0087547000,2019-07-10T19:11:36+00:00,Pièces d'identités et papiers personnels,Paris Austerlitz,Carte d'abonnement,Objet trouvé,2019-07-10T18:55:59+00:00
objets-trouves-restitution,b9a750c7de4ce7af369514a2ebd625077f70e87b,2023-04-06T09:01:33.082Z,0087547000,2019-07-10T16:42:37+00:00,"Livres, articles de papéterie",Paris Austerlitz,Autres articles de papeterie,Objet trouvé,2019-07-10T16:37:52+00:00
